State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Massachusetts,2010,3,3478448,66.0,3187591,60.5,290857,8.4
Michigan,2010,3,4783504,61.5,4165926,53.6,617578,12.9
Minnesota,2010,3,2938371,71.6,2714349,66.1,224022,7.6
Mississippi,2010,3,1271407,57.6,1138614,51.6,132793,10.4
Missouri,2010,3,3044587,65.7,2751280,59.4,293307,9.6
Montana,2010,3,501546,65.0,464199,60.2,37347,7.4
Nebraska,2010,3,990060,72.2,941517,68.6,48543,4.9
Nevada,2010,3,1360604,67.6,1173988,58.4,186616,13.7
New Hampshire,2010,3,740166,69.8,692203,65.2,47963,6.5
New Jersey,2010,3,4568271,67.2,4117952,60.6,450319,9.9
New Mexico,2010,3,929410,60.8,856258,56.0,73152,7.9
New York,2010,3,9666303,62.7,8804772,57.1,861531,8.9
New York city,2010,3,3994779,60.2,3598336,54.3,396443,9.9
North Carolina,2010,3,4641281,64.7,4122130,57.4,519151,11.2
North Dakota,2010,3,376324,74.1,361821,71.3,14503,3.9
Ohio,2010,3,5904597,65.8,5259913,58.6,644684,10.9
Oklahoma,2010,3,1766675,63.3,1645979,58.9,120696,6.8
Oregon,2010,3,1984778,65.5,1768457,58.3,216321,10.9
Pennsylvania,2010,3,6359683,63.8,5820638,58.4,539045,8.5
Rhode Island,2010,3,572495,67.8,504735,59.8,67760,11.8
South Carolina,2010,3,2165917,61.5,1913417,54.4,252500,11.7
South Dakota,2010,3,442184,71.0,420409,67.5,21775,4.9
Tennessee,2010,3,3076129,62.8,2762469,56.4,313660,10.2
Texas,2010,3,12191275,66.5,11184615,61.0,1006660,8.3
Utah,2010,3,1354198,67.8,1245524,62.4,108674,8.0
Vermont,2010,3,359952,70.7,336236,66.0,23716,6.6
Virginia,2010,3,4153490,68.6,3837310,63.4,316180,7.6
Washington,2010,3,3462164,66.2,3141865,60.1,320299,9.3
West Virginia,2010,3,810179,55.6,738804,50.7,71375,8.8
Wisconsin,2010,3,3090610,69.7,2812648,63.4,277962,9.0
Wyoming,2010,3,302202,71.8,279686,66.4,22516,7.5
Alabama,2010,4,2197720,59.4,1966202,53.2,231518,10.5
Alaska,2010,4,361538,70.1,331564,64.3,29974,8.3
Arizona,2010,4,3113354,64.3,2786810,57.6,326544,10.5
Arkansas,2010,4,1351964,60.6,1246062,55.8,105902,7.8
California,2010,4,18381603,64.4,16078778,56.3,2302825,12.5
Los Angeles County,2010,4,4938672,64.6,4317332,56.4,621340,12.6
Colorado,2010,4,2718188,70.6,2471781,64.2,246407,9.1
Connecticut,2010,4,1906595,68.0,1722636,61.5,183959,9.6
Delaware,2010,4,433690,61.8,395333,56.4,38357,8.8
District of Columbia,2010,4,346457,69.0,311849,62.1,34608,10.0
