State/Area,Year,Month,Total Civilian Labor Force in State/Area,Percent (%) of State/Area's Population,Total Employment in State/Area,Percent (%) of Labor Force Employed in State/Area,Total Unemployment in State/Area,Percent (%) of Labor Force Unemployed in State/Area
Montana,1987,9,399976,67.0,370217,62.0,29759,7.4
Nebraska,1987,9,812448,68.7,778904,65.8,33544,4.1
Nevada,1987,9,561388,72.8,526654,68.3,34734,6.2
New Hampshire,1987,9,586064,72.5,572488,70.9,13576,2.3
New Jersey,1987,9,3969090,66.0,3811754,63.4,157336,4.0
New Mexico,1987,9,677347,63.0,617901,57.4,59446,8.8
New York,1987,9,8509116,61.8,8113516,58.9,395600,4.6
New York city,1987,9,3245753,55.6,3071718,52.6,174035,5.4
North Carolina,1987,9,3289033,68.2,3147544,65.3,141489,4.3
North Dakota,1987,9,331088,68.5,314941,65.2,16147,4.9
Ohio,1987,9,5267709,64.4,4919371,60.2,348338,6.6
Oklahoma,1987,9,1543094,64.4,1438341,60.0,104753,6.8
Oregon,1987,9,1404937,67.2,1318407,63.1,86530,6.2
Pennsylvania,1987,9,5698628,61.2,5377648,57.8,320980,5.6
Rhode Island,1987,9,516187,67.6,498197,65.2,17990,3.5
South Carolina,1987,9,1636609,65.4,1553420,62.0,83189,5.1
South Dakota,1987,9,353233,68.5,338266,65.6,14967,4.2
Tennessee,1987,9,2338965,63.4,2193225,59.4,145740,6.2
Texas,1987,9,8297572,69.0,7610887,63.3,686685,8.3
Utah,1987,9,754058,69.2,709018,65.1,45040,6.0
Vermont,1987,9,296785,71.5,286288,69.0,10497,3.5
Virginia,1987,9,3016182,68.3,2899628,65.7,116554,3.9
Washington,1987,9,2280146,66.8,2120167,62.1,159979,7.0
West Virginia,1987,9,741052,51.2,661453,45.7,79599,10.7
Wisconsin,1987,9,2499922,69.0,2362633,65.2,137289,5.5
Wyoming,1987,9,241075,69.3,222947,64.1,18128,7.5
Alabama,1987,10,1872460,61.5,1728348,56.8,144112,7.7
Alaska,1987,10,249191,72.2,225115,65.3,24076,9.7
Arizona,1987,10,1625126,64.2,1525353,60.2,99773,6.1
Arkansas,1987,10,1101660,61.9,1013659,56.9,88001,8.0
California,1987,10,13862797,67.1,13095769,63.4,767028,5.5
Los Angeles County,1987,10,4272920,66.9,4038724,63.3,234196,5.5
Colorado,1987,10,1701447,69.7,1583195,64.9,118252,7.0
Connecticut,1987,10,1748279,69.7,1697253,67.6,51026,2.9
Delaware,1987,10,335772,68.1,325775,66.1,9997,3.0
District of Columbia,1987,10,328940,69.7,309934,65.7,19006,5.8
Florida,1987,10,5937690,62.5,5624797,59.2,312893,5.3
Georgia,1987,10,3083670,67.3,2908551,63.5,175119,5.7
Hawaii,1987,10,517677,67.6,499798,65.2,17879,3.5
Idaho,1987,10,472340,66.3,438171,61.5,34169,7.2
Illinois,1987,10,5796182,66.2,5383986,61.5,412196,7.1
Indiana,1987,10,2747419,65.9,2589717,62.1,157702,5.7
Iowa,1987,10,1465663,68.5,1387022,64.8,78641,5.4
Kansas,1987,10,1266629,69.0,1208379,65.8,58250,4.6
Kentucky,1987,10,1702856,61.3,1570018,56.5,132838,7.8
Louisiana,1987,10,1944770,61.0,1722666,54.0,222104,11.4
Maine,1987,10,593605,65.7,568898,63.0,24707,4.2
Maryland,1987,10,2423132,69.9,2320022,66.9,103110,4.3
Massachusetts,1987,10,3121899,67.9,3023962,65.8,97937,3.1
Michigan,1987,10,4520858,65.1,4145979,59.7,374879,8.3
Minnesota,1987,10,2295389,71.5,2182783,68.0,112606,4.9
Mississippi,1987,10,1152637,61.3,1043770,55.5,108867,9.4
Missouri,1987,10,2561699,66.1,2408585,62.1,153114,6.0
Montana,1987,10,400415,67.1,370795,62.1,29620,7.4
Nebraska,1987,10,811981,68.6,779358,65.9,32623,4.0
Nevada,1987,10,563471,72.8,528952,68.3,34519,6.1
New Hampshire,1987,10,587010,72.5,573315,70.8,13695,2.3
New Jersey,1987,10,3971431,66.0,3815382,63.4,156049,3.9
New Mexico,1987,10,678131,63.0,619046,57.5,59085,8.7
New York,1987,10,8519019,61.8,8126244,59.0,392775,4.6
New York city,1987,10,3245113,55.6,3072752,52.7,172361,5.3
North Carolina,1987,10,3295096,68.3,3154501,65.4,140595,4.3
North Dakota,1987,10,331135,68.6,315008,65.2,16127,4.9
Ohio,1987,10,5272992,64.4,4931217,60.3,341775,6.5
Oklahoma,1987,10,1541260,64.4,1437055,60.0,104205,6.8
Oregon,1987,10,1409233,67.3,1321918,63.1,87315,6.2
Pennsylvania,1987,10,5713246,61.4,5392744,57.9,320502,5.6
Rhode Island,1987,10,516233,67.6,498607,65.3,17626,3.4
South Carolina,1987,10,1641459,65.5,1557638,62.1,83821,5.1
South Dakota,1987,10,353805,68.6,338778,65.7,15027,4.2
Tennessee,1987,10,2342518,63.4,2199702,59.5,142816,6.1
Texas,1987,10,8304516,69.0,7624375,63.4,680141,8.2
Utah,1987,10,754156,69.3,709841,65.2,44315,5.9
Vermont,1987,10,297269,71.6,287001,69.2,10268,3.5
Virginia,1987,10,3024933,68.4,2909376,65.8,115557,3.8
Washington,1987,10,2287560,66.9,2128133,62.2,159427,7.0
West Virginia,1987,10,741694,51.2,662676,45.8,79018,10.7
Wisconsin,1987,10,2502608,69.0,2367558,65.3,135050,5.4
Wyoming,1987,10,240873,69.4,223134,64.3,17739,7.4
Alabama,1987,11,1873514,61.5,1730817,56.8,142697,7.6
Alaska,1987,11,249525,72.3,225806,65.5,23719,9.5
Arizona,1987,11,1629374,64.2,1528901,60.3,100473,6.2
Arkansas,1987,11,1103624,62.0,1015821,57.0,87803,8.0
California,1987,11,13901345,67.2,13138322,63.5,763023,5.5
Los Angeles County,1987,11,4286917,67.1,4054571,63.4,232346,5.4
Colorado,1987,11,1705602,69.9,1587248,65.0,118354,6.9
Connecticut,1987,11,1746930,69.6,1696387,67.6,50543,2.9
Delaware,1987,11,337388,68.3,327160,66.2,10228,3.0
District of Columbia,1987,11,329063,69.9,310373,65.9,18690,5.7
Florida,1987,11,5958265,62.6,5645574,59.3,312691,5.2
Georgia,1987,11,3093550,67.4,2916483,63.6,177067,5.7
Hawaii,1987,11,518715,67.5,501247,65.3,17468,3.4
Idaho,1987,11,472250,66.2,438718,61.5,33532,7.1
Illinois,1987,11,5795151,66.1,5384050,61.5,411101,7.1
Indiana,1987,11,2749297,65.9,2595740,62.2,153557,5.6
Iowa,1987,11,1467559,68.5,1390969,65.0,76590,5.2
Kansas,1987,11,1267652,69.0,1209947,65.9,57705,4.6
Kentucky,1987,11,1705862,61.4,1573336,56.6,132526,7.8
Louisiana,1987,11,1943837,61.0,1723158,54.1,220679,11.4
Maine,1987,11,593757,65.7,569721,63.0,24036,4.0
Maryland,1987,11,2430099,70.0,2326048,67.0,104051,4.3
Massachusetts,1987,11,3126506,68.0,3028401,65.9,98105,3.1
Michigan,1987,11,4521729,65.1,4146497,59.7,375232,8.3
Minnesota,1987,11,2298209,71.5,2188604,68.1,109605,4.8
Mississippi,1987,11,1152463,61.3,1045938,55.6,106525,9.2
Missouri,1987,11,2562206,66.0,2413050,62.2,149156,5.8
Montana,1987,11,401119,67.2,371817,62.3,29302,7.3
Nebraska,1987,11,811817,68.6,780121,65.9,31696,3.9
Nevada,1987,11,565462,72.8,531382,68.4,34080,6.0
New Hampshire,1987,11,587579,72.5,573951,70.8,13628,2.3
New Jersey,1987,11,3972654,66.0,3818098,63.5,154556,3.9
New Mexico,1987,11,679053,63.1,620517,57.6,58536,8.6
New York,1987,11,8525763,61.9,8139188,59.1,386575,4.5
New York city,1987,11,3242211,55.6,3073025,52.7,169186,5.2
North Carolina,1987,11,3300543,68.3,3161276,65.4,139267,4.2
North Dakota,1987,11,331154,68.6,315144,65.2,16010,4.8
Ohio,1987,11,5279138,64.5,4941177,60.3,337961,6.4
Oklahoma,1987,11,1539831,64.3,1436261,60.0,103570,6.7
Oregon,1987,11,1412433,67.4,1325362,63.2,87071,6.2
Pennsylvania,1987,11,5725802,61.5,5406694,58.0,319108,5.6
Rhode Island,1987,11,515990,67.4,498802,65.2,17188,3.3
South Carolina,1987,11,1646229,65.6,1562174,62.2,84055,5.1
South Dakota,1987,11,354454,68.7,339314,65.8,15140,4.3
Tennessee,1987,11,2345003,63.4,2204497,59.6,140506,6.0
Texas,1987,11,8311325,69.1,7637612,63.5,673713,8.1
Utah,1987,11,754382,69.2,710847,65.2,43535,5.8
Vermont,1987,11,297494,71.5,287484,69.1,10010,3.4
Virginia,1987,11,3034719,68.5,2919704,65.9,115015,3.8
Washington,1987,11,2293361,66.9,2135276,62.3,158085,6.9
West Virginia,1987,11,742128,51.3,663748,45.9,78380,10.6
Wisconsin,1987,11,2505477,69.0,2373602,65.4,131875,5.3
Wyoming,1987,11,240625,69.3,223336,64.4,17289,7.2
Alabama,1987,12,1873624,61.5,1732573,56.9,141051,7.5
Alaska,1987,12,249745,72.4,226380,65.6,23365,9.4
Arizona,1987,12,1632802,64.2,1531408,60.2,101394,6.2
Arkansas,1987,12,1104956,62.0,1017470,57.1,87486,7.9
California,1987,12,13937069,67.2,13178776,63.6,758293,5.4
Los Angeles County,1987,12,4299807,67.2,4069871,63.6,229936,5.3
Colorado,1987,12,1709038,70.0,1590617,65.1,118421,6.9
Connecticut,1987,12,1745153,69.5,1695133,67.5,50020,2.9
Delaware,1987,12,338875,68.5,328493,66.4,10382,3.1
District of Columbia,1987,12,329330,69.9,310919,66.0,18411,5.6
Florida,1987,12,5977310,62.7,5664702,59.4,312608,5.2
Georgia,1987,12,3103158,67.5,2924367,63.7,178791,5.8
Hawaii,1987,12,519058,67.5,501962,65.3,17096,3.3
Idaho,1987,12,472113,66.2,439327,61.6,32786,6.9
Illinois,1987,12,5794156,66.1,5382790,61.4,411366,7.1
Indiana,1987,12,2751460,65.9,2601513,62.3,149947,5.4
Iowa,1987,12,1469609,68.6,1395084,65.1,74525,5.1
Kansas,1987,12,1268904,69.0,1211519,65.9,57385,4.5
Kentucky,1987,12,1708369,61.4,1575988,56.7,132381,7.7
Louisiana,1987,12,1942816,61.0,1723849,54.2,218967,11.3
Maine,1987,12,593294,65.5,570178,62.9,23116,3.9
Maryland,1987,12,2435720,70.0,2330909,67.0,104811,4.3
Massachusetts,1987,12,3131161,68.1,3032733,65.9,98428,3.1
Michigan,1987,12,4523889,65.1,4147992,59.7,375897,8.3
Minnesota,1987,12,2300103,71.5,2193641,68.2,106462,4.6
Mississippi,1987,12,1151503,61.2,1047648,55.7,103855,9.0
Missouri,1987,12,2563073,66.0,2417713,62.3,145360,5.7
Montana,1987,12,401816,67.3,372955,62.5,28861,7.2
Nebraska,1987,12,811996,68.5,781056,65.9,30940,3.8
Nevada,1987,12,567270,72.7,533835,68.4,33435,5.9
New Hampshire,1987,12,587940,72.3,574469,70.7,13471,2.3
New Jersey,1987,12,3972225,66.0,3819349,63.5,152876,3.8
New Mexico,1987,12,680023,63.1,622154,57.7,57869,8.5
New York,1987,12,8527225,61.9,8150169,59.1,377056,4.4
New York city,1987,12,3237084,55.5,3072345,52.7,164739,5.1
North Carolina,1987,12,3304438,68.3,3167389,65.5,137049,4.1
North Dakota,1987,12,331096,68.5,315281,65.3,15815,4.8
Ohio,1987,12,5285401,64.5,4948607,60.4,336794,6.4
Oklahoma,1987,12,1538088,64.3,1435520,60.0,102568,6.7
Oregon,1987,12,1414594,67.3,1328553,63.2,86041,6.1
Pennsylvania,1987,12,5734022,61.5,5417517,58.1,316505,5.5
Rhode Island,1987,12,515457,67.4,498884,65.2,16573,3.2
South Carolina,1987,12,1650013,65.7,1566426,62.3,83587,5.1
South Dakota,1987,12,355062,68.7,339786,65.7,15276,4.3
Tennessee,1987,12,2345661,63.4,2207045,59.6,138616,5.9
Texas,1987,12,8316703,69.1,7649467,63.5,667236,8.0
Utah,1987,12,754469,69.2,711885,65.3,42584,5.6
Vermont,1987,12,297448,71.3,287743,69.0,9705,3.3
Virginia,1987,12,3044392,68.6,2929687,66.0,114705,3.8
Washington,1987,12,2297322,66.9,2141437,62.4,155885,6.8
West Virginia,1987,12,742419,51.3,664588,46.0,77831,10.5
Wisconsin,1987,12,2508772,69.1,2380809,65.6,127963,5.1
Wyoming,1987,12,240294,69.2,223465,64.4,16829,7.0
Alabama,1988,1,1872638,61.4,1733412,56.9,139226,7.4
Alaska,1988,1,249709,72.2,226692,65.5,23017,9.2
Arizona,1988,1,1635414,64.2,1532912,60.2,102502,6.3
Arkansas,1988,1,1105455,62.0,1018381,57.1,87074,7.9
California,1988,1,13967800,67.2,13214733,63.6,753067,5.4
Los Angeles County,1988,1,4309316,67.3,4082484,63.8,226832,5.3
Colorado,1988,1,1710846,70.1,1593001,65.2,117845,6.9
Connecticut,1988,1,1743456,69.4,1693997,67.4,49459,2.8
Delaware,1988,1,340179,68.6,329783,66.5,10396,3.1
District of Columbia,1988,1,329674,70.1,311531,66.3,18143,5.5
Florida,1988,1,5993923,62.7,5681440,59.5,312483,5.2
Georgia,1988,1,3112005,67.7,2931704,63.7,180301,5.8
Hawaii,1988,1,518680,67.4,501945,65.2,16735,3.2
Idaho,1988,1,472097,66.2,440060,61.7,32037,6.8
Illinois,1988,1,5793013,66.1,5381626,61.4,411387,7.1
Indiana,1988,1,2753453,65.9,2606593,62.4,146860,5.3
Iowa,1988,1,1472126,68.7,1399385,65.3,72741,4.9
Kansas,1988,1,1270010,69.0,1212712,65.9,57298,4.5
Kentucky,1988,1,1709737,61.4,1577705,56.7,132032,7.7
Louisiana,1988,1,1941012,61.0,1724160,54.2,216852,11.2
Maine,1988,1,592596,65.3,570509,62.9,22087,3.7
Maryland,1988,1,2439566,70.0,2334434,67.0,105132,4.3
Massachusetts,1988,1,3135420,68.1,3036651,66.0,98769,3.2
Michigan,1988,1,4526112,65.1,4151395,59.7,374717,8.3
Minnesota,1988,1,2300902,71.4,2197402,68.2,103500,4.5
Mississippi,1988,1,1149584,61.1,1048539,55.7,101045,8.8
Missouri,1988,1,2564640,66.0,2422017,62.3,142623,5.6
Montana,1988,1,402389,67.4,374016,62.6,28373,7.1
Nebraska,1988,1,812353,68.5,782057,65.9,30296,3.7
Nevada,1988,1,568920,72.7,536242,68.5,32678,5.7
New Hampshire,1988,1,588278,72.3,575035,70.6,13243,2.3
New Jersey,1988,1,3969953,65.9,3818869,63.4,151084,3.8
New Mexico,1988,1,680904,63.1,623779,57.8,57125,8.4
New York,1988,1,8522477,61.8,8157405,59.2,365072,4.3
New York city,1988,1,3230612,55.4,3071245,52.6,159367,4.9
North Carolina,1988,1,3306044,68.2,3172349,65.5,133695,4.0
North Dakota,1988,1,330947,68.5,315355,65.3,15592,4.7
Ohio,1988,1,5290468,64.5,4953695,60.4,336773,6.4
Oklahoma,1988,1,1535540,64.2,1434593,60.0,100947,6.6
Oregon,1988,1,1416034,67.3,1331232,63.3,84802,6.0
Pennsylvania,1988,1,5736452,61.5,5423849,58.2,312603,5.4
Rhode Island,1988,1,514801,67.3,498995,65.2,15806,3.1
South Carolina,1988,1,1652286,65.7,1569765,62.4,82521,5.0
South Dakota,1988,1,355541,68.8,340161,65.8,15380,4.3
Tennessee,1988,1,2343762,63.3,2206809,59.6,136953,5.8
Texas,1988,1,8319802,69.1,7659565,63.6,660237,7.9
Utah,1988,1,754310,69.1,712886,65.3,41424,5.5
Vermont,1988,1,297253,71.1,287901,68.9,9352,3.1
Virginia,1988,1,3053240,68.7,2938657,66.1,114583,3.8
Washington,1988,1,2299925,66.8,2146754,62.4,153171,6.7
West Virginia,1988,1,742616,51.4,665211,46.0,77405,10.4
Wisconsin,1988,1,2512496,69.1,2388963,65.7,123533,4.9
Wyoming,1988,1,239862,69.1,223498,64.4,16364,6.8
Alabama,1988,2,1870796,61.3,1733404,56.8,137392,7.3
Alaska,1988,2,249529,72.1,226844,65.6,22685,9.1
Arizona,1988,2,1637822,64.2,1534142,60.1,103680,6.3
Arkansas,1988,2,1105452,62.0,1018869,57.1,86583,7.8
California,1988,2,13995002,67.2,13246962,63.7,748040,5.3
Los Angeles County,1988,2,4314536,67.3,4091062,63.8,223474,5.2
Colorado,1988,2,1711516,70.1,1595091,65.3,116425,6.8
Connecticut,1988,2,1742398,69.3,1693466,67.4,48932,2.8
Delaware,1988,2,341399,68.7,331145,66.6,10254,3.0
District of Columbia,1988,2,330047,70.4,312201,66.6,17846,5.4
Florida,1988,2,6008310,62.7,5696320,59.5,311990,5.2
Georgia,1988,2,3119904,67.7,2938763,63.8,181141,5.8
Hawaii,1988,2,517862,67.2,501469,65.0,16393,3.2
Idaho,1988,2,472431,66.2,441096,61.8,31335,6.6
Illinois,1988,2,5791918,66.0,5382020,61.3,409898,7.1
Indiana,1988,2,2756051,65.9,2611645,62.5,144406,5.2
Iowa,1988,2,1475373,68.8,1403970,65.5,71403,4.8
Kansas,1988,2,1270803,69.0,1213503,65.9,57300,4.5
Kentucky,1988,2,1709812,61.4,1578473,56.7,131339,7.7
Louisiana,1988,2,1938307,61.0,1723983,54.2,214324,11.1
Maine,1988,2,592256,65.2,571035,62.8,21221,3.6
Maryland,1988,2,2442240,70.0,2337429,67.0,104811,4.3
Massachusetts,1988,2,3139245,68.2,3040160,66.0,99085,3.2
Michigan,1988,2,4527757,65.1,4158075,59.8,369682,8.2
Minnesota,1988,2,2301354,71.4,2200319,68.2,101035,4.4
Mississippi,1988,2,1146927,60.9,1048468,55.7,98459,8.6
Missouri,1988,2,2567454,66.0,2425977,62.4,141477,5.5
Montana,1988,2,402877,67.6,374950,62.9,27927,6.9
Nebraska,1988,2,812916,68.5,783147,66.0,29769,3.7
Nevada,1988,2,570614,72.6,538682,68.5,31932,5.6
New Hampshire,1988,2,588761,72.2,575737,70.6,13024,2.2
New Jersey,1988,2,3967089,65.9,3817724,63.4,149365,3.8
New Mexico,1988,2,681698,63.1,625396,57.9,56302,8.3
New York,1988,2,8513985,61.7,8161262,59.2,352723,4.1
New York city,1988,2,3224578,55.3,3070656,52.6,153922,4.8
North Carolina,1988,2,3306487,68.2,3176975,65.5,129512,3.9
North Dakota,1988,2,330744,68.6,315368,65.4,15376,4.6
Ohio,1988,2,5294712,64.5,4958839,60.4,335873,6.3
Oklahoma,1988,2,1532294,64.1,1433458,60.0,98836,6.5
Oregon,1988,2,1417277,67.3,1333472,63.3,83805,5.9
Pennsylvania,1988,2,5734594,61.5,5426918,58.2,307676,5.4
Rhode Island,1988,2,514275,67.1,499260,65.2,15015,2.9
South Carolina,1988,2,1653560,65.6,1572424,62.4,81136,4.9
South Dakota,1988,2,355869,68.8,340497,65.9,15372,4.3
Tennessee,1988,2,2339988,63.1,2204414,59.5,135574,5.8
Texas,1988,2,8321766,69.1,7669767,63.7,651999,7.8
Utah,1988,2,754135,69.0,713997,65.3,40138,5.3
Vermont,1988,2,297138,70.9,288143,68.8,8995,3.0
Virginia,1988,2,3061256,68.8,2946408,66.2,114848,3.8
Washington,1988,2,2302558,66.8,2152012,62.4,150546,6.5
West Virginia,1988,2,742719,51.4,665745,46.1,76974,10.4
Wisconsin,1988,2,2517149,69.2,2397999,65.9,119150,4.7
Wyoming,1988,2,239429,69.2,223520,64.6,15909,6.6
Alabama,1988,3,1868482,61.2,1732653,56.8,135829,7.3
Alaska,1988,3,249409,72.1,226975,65.6,22434,9.0
Arizona,1988,3,1640390,64.2,1535384,60.0,105006,6.4
Arkansas,1988,3,1105362,62.0,1019221,57.2,86141,7.8
California,1988,3,14020683,67.3,13275848,63.7,744835,5.3
Los Angeles County,1988,3,4316019,67.3,4095279,63.9,220740,5.1
Colorado,1988,3,1711387,70.0,1596837,65.3,114550,6.7
Connecticut,1988,3,1741933,69.3,1693317,67.3,48616,2.8
Delaware,1988,3,342677,68.8,332662,66.8,10015,2.9
District of Columbia,1988,3,330349,70.4,312844,66.7,17505,5.3
Florida,1988,3,6020751,62.8,5709584,59.5,311167,5.2
Georgia,1988,3,3126957,67.8,2945881,63.8,181076,5.8
Hawaii,1988,3,517010,67.0,500899,64.9,16111,3.1
Idaho,1988,3,473202,66.3,442486,62.0,30716,6.5
Illinois,1988,3,5792117,66.0,5385090,61.4,407027,7.0
Indiana,1988,3,2759980,66.0,2617082,62.6,142898,5.2
Iowa,1988,3,1478885,68.9,1408250,65.6,70635,4.8
Kansas,1988,3,1271324,69.0,1213970,65.9,57354,4.5
Kentucky,1988,3,1708911,61.4,1578351,56.7,130560,7.6
Louisiana,1988,3,1934930,60.9,1723155,54.3,211775,10.9
Maine,1988,3,592552,65.1,571744,62.8,20808,3.5
Maryland,1988,3,2444576,69.9,2340466,67.0,104110,4.3
Massachusetts,1988,3,3142130,68.2,3042588,66.1,99542,3.2
Michigan,1988,3,4528450,65.1,4167405,59.9,361045,8.0
Minnesota,1988,3,2302289,71.3,2202830,68.2,99459,4.3
Mississippi,1988,3,1143858,60.7,1047474,55.6,96384,8.4
Missouri,1988,3,2571635,66.1,2429597,62.5,142038,5.5
Montana,1988,3,403168,67.6,375552,63.0,27616,6.8
Nebraska,1988,3,813645,68.5,784295,66.1,29350,3.6
Nevada,1988,3,572424,72.6,541109,68.6,31315,5.5
New Hampshire,1988,3,589367,72.0,576412,70.5,12955,2.2
New Jersey,1988,3,3964579,65.8,3816524,63.3,148055,3.7
New Mexico,1988,3,682285,63.1,626848,58.0,55437,8.1
New York,1988,3,8505714,61.7,8162351,59.2,343363,4.0
New York city,1988,3,3220102,55.2,3070020,52.6,150082,4.7
North Carolina,1988,3,3307613,68.1,3182240,65.5,125373,3.8
North Dakota,1988,3,330540,68.6,315323,65.4,15217,4.6
Ohio,1988,3,5298625,64.5,4965690,60.5,332935,6.3
Oklahoma,1988,3,1528432,64.0,1431553,59.9,96879,6.3
Oregon,1988,3,1418655,67.2,1335389,63.3,83266,5.9
Pennsylvania,1988,3,5731704,61.4,5428994,58.2,302710,5.3
Rhode Island,1988,3,514114,67.1,499731,65.2,14383,2.8
South Carolina,1988,3,1654548,65.6,1574675,62.4,79873,4.8
South Dakota,1988,3,356047,68.7,340826,65.8,15221,4.3
Tennessee,1988,3,2335887,63.0,2201189,59.3,134698,5.8
Texas,1988,3,8322994,69.1,7680433,63.7,642561,7.7
Utah,1988,3,754133,68.9,715198,65.4,38935,5.2
Vermont,1988,3,297215,70.8,288518,68.7,8697,2.9
Virginia,1988,3,3068031,68.8,2952408,66.2,115623,3.8
Washington,1988,3,2306115,66.8,2157603,62.5,148512,6.4
West Virginia,1988,3,742802,51.5,666348,46.2,76454,10.3
Wisconsin,1988,3,2522986,69.3,2407475,66.1,115511,4.6
Wyoming,1988,3,239085,69.1,223561,64.6,15524,6.5
Alabama,1988,4,1866560,61.1,1731673,56.7,134887,7.2
Alaska,1988,4,249424,72.1,227146,65.6,22278,8.9
Arizona,1988,4,1643843,64.2,1537393,60.0,106450,6.5
Arkansas,1988,4,1105577,62.0,1019698,57.2,85879,7.8
California,1988,4,14047660,67.3,13303414,63.7,744246,5.3
Los Angeles County,1988,4,4315582,67.2,4096423,63.8,219159,5.1
Colorado,1988,4,1710811,70.0,1598066,65.4,112745,6.6
Connecticut,1988,4,1742067,69.2,1693413,67.3,48654,2.8
Delaware,1988,4,344157,69.1,334330,67.1,9827,2.9
District of Columbia,1988,4,330556,70.6,313414,67.0,17142,5.2
Florida,1988,4,6032519,62.8,5721978,59.5,310541,5.1
Georgia,1988,4,3133726,67.8,2953521,63.9,180205,5.8
Hawaii,1988,4,516584,66.8,500676,64.8,15908,3.1
Idaho,1988,4,474515,66.4,444285,62.1,30230,6.4
Illinois,1988,4,5794922,66.0,5391704,61.4,403218,7.0
Indiana,1988,4,2765407,66.1,2622938,62.7,142469,5.2
Iowa,1988,4,1482369,69.0,1412046,65.8,70323,4.7
Kansas,1988,4,1271768,69.0,1214340,65.9,57428,4.5
Kentucky,1988,4,1708180,61.3,1578228,56.6,129952,7.6
Louisiana,1988,4,1931580,60.9,1721936,54.3,209644,10.9
Maine,1988,4,593327,65.1,572461,62.8,20866,3.5
Maryland,1988,4,2447346,69.9,2343807,67.0,103539,4.2
Massachusetts,1988,4,3144383,68.2,3044045,66.1,100338,3.2
Michigan,1988,4,4528907,65.0,4177700,60.0,351207,7.8
Minnesota,1988,4,2304276,71.3,2205462,68.2,98814,4.3
Mississippi,1988,4,1141008,60.6,1045896,55.5,95112,8.3
Missouri,1988,4,2577187,66.2,2433027,62.5,144160,5.6
Montana,1988,4,403332,67.7,375865,63.1,27467,6.8
Nebraska,1988,4,814537,68.6,785509,66.1,29028,3.6
Nevada,1988,4,574434,72.5,543512,68.6,30922,5.4
New Hampshire,1988,4,590206,72.1,577078,70.5,13128,2.2
New Jersey,1988,4,3963511,65.7,3816146,63.3,147365,3.7
New Mexico,1988,4,682650,63.1,628114,58.1,54536,8.0
New York,1988,4,8502963,61.6,8163183,59.2,339780,4.0
New York city,1988,4,3218271,55.2,3068733,52.6,149538,4.6
North Carolina,1988,4,3311155,68.1,3189208,65.6,121947,3.7
North Dakota,1988,4,330418,68.6,315267,65.4,15151,4.6
Ohio,1988,4,5303399,64.5,4974742,60.5,328657,6.2
Oklahoma,1988,4,1524579,63.9,1428890,59.9,95689,6.3
Oregon,1988,4,1420537,67.2,1337340,63.3,83197,5.9
Pennsylvania,1988,4,5731779,61.4,5433152,58.2,298627,5.2
Rhode Island,1988,4,514379,67.1,500332,65.2,14047,2.7
South Carolina,1988,4,1655620,65.5,1576684,62.4,78936,4.8
South Dakota,1988,4,356151,68.8,341192,65.9,14959,4.2
Tennessee,1988,4,2332728,62.8,2198355,59.2,134373,5.8
Texas,1988,4,8324953,69.1,7692115,63.8,632838,7.6
Utah,1988,4,754569,69.0,716514,65.5,38055,5.0
Vermont,1988,4,297525,70.8,289020,68.8,8505,2.9
Virginia,1988,4,3073790,68.8,2956813,66.2,116977,3.8
Washington,1988,4,2311402,66.8,2163902,62.5,147500,6.4
West Virginia,1988,4,742926,51.5,667089,46.2,75837,10.2
Wisconsin,1988,4,2529936,69.4,2416976,66.3,112960,4.5
Wyoming,1988,4,238869,69.0,223609,64.6,15260,6.4
Alabama,1988,5,1866008,61.1,1731433,56.7,134575,7.2
Alaska,1988,5,249598,71.9,227430,65.5,22168,8.9
Arizona,1988,5,1649010,64.3,1541180,60.1,107830,6.5
Arkansas,1988,5,1106158,62.0,1020357,57.2,85801,7.8
California,1988,5,14077761,67.3,13332188,63.7,745573,5.3
Los Angeles County,1988,5,4314788,67.2,4096195,63.8,218593,5.1
Colorado,1988,5,1710155,69.9,1598892,65.4,111263,6.5
Connecticut,1988,5,1743025,69.3,1694026,67.3,48999,2.8
Delaware,1988,5,345849,69.3,336039,67.3,9810,2.8
District of Columbia,1988,5,330589,70.8,313798,67.2,16791,5.1
Florida,1988,5,6044759,62.8,5734359,59.5,310400,5.1
Georgia,1988,5,3140371,67.9,2961667,64.0,178704,5.7
Hawaii,1988,5,516762,66.7,500983,64.6,15779,3.1
Idaho,1988,5,476283,66.6,446396,62.4,29887,6.3
Illinois,1988,5,5800391,66.0,5401781,61.5,398610,6.9
Indiana,1988,5,2772427,66.2,2629489,62.8,142938,5.2
Iowa,1988,5,1485554,69.2,1415416,65.9,70138,4.7
Kansas,1988,5,1272414,69.0,1214998,65.9,57416,4.5
Kentucky,1988,5,1708701,61.3,1579136,56.6,129565,7.6
Louisiana,1988,5,1928779,60.8,1720853,54.3,207926,10.8
Maine,1988,5,594551,65.1,573236,62.8,21315,3.6
Maryland,1988,5,2450964,69.9,2347574,67.0,103390,4.2
Massachusetts,1988,5,3146797,68.2,3045360,66.0,101437,3.2
Michigan,1988,5,4530290,65.0,4187648,60.1,342642,7.6
Minnesota,1988,5,2307409,71.3,2208460,68.2,98949,4.3
Mississippi,1988,5,1139179,60.4,1044383,55.4,94796,8.3
Missouri,1988,5,2583590,66.3,2436653,62.6,146937,5.7
